Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
21/06/2024,"37,686","37,686.00","38,388.00","37,644.60",1.86M,0.22%
20/06/2024,"37,603","38,017.00","38,182.00","37,479.30",3.23M,-1.30%
19/06/2024,"38,099","38,678.00","38,678.00","37,892.50",3.15M,-0.86%
18/06/2024,"38,430","38,595.00","38,884.00","38,429.70",1.78M,0.00%
17/06/2024,"38,430","39,256.00","39,256.00","38,429.70",3.40M,-2.10%
14/06/2024,"39,256","40,000.00","40,289.00","39,256.20",2.71M,-1.76%
13/06/2024,"39,959","39,959.00","39,959.00","39,586.80",3.16M,0.94%
12/6/2024,"39,587","39,339.00","39,628.00","38,843.00",3.21M,1.16%
11/6/2024,"39,132","39,504.00","39,545.00","39,008.30",3.07M,-0.63%
10/6/2024,"39,380","39,545.00","40,124.00","39,297.50",2.50M,-0.21%
7/6/2024,"39,463","39,752.00","39,917.00","39,421.50",1.49M,-0.31%
6/6/2024,"39,587","39,421.00","39,752.00","39,421.50",1.71M,0.53%
5/6/2024,"39,380","39,587.00","39,835.00","39,380.20",2.18M,0.10%
4/6/2024,"39,339","39,545.00","39,835.00","39,297.50",1.35M,0.63%
3/6/2024,"39,091","39,587.00","40,041.00","39,008.30",2.54M,0.42%
31/05/2024,"38,926","39,421.00","39,917.00","38,925.60",2.38M,-1.26%
30/05/2024,"39,421","40,000.00","40,083.00","39,173.50",2.53M,-1.85%
29/05/2024,"40,165","40,868.00","40,868.00","40,165.30",1.68M,-1.02%
28/05/2024,"40,578","40,496.00","40,661.00","40,165.30",1.49M,0.41%
27/05/2024,"40,413","40,826.00","40,826.00","40,124.00",923.47K,-0.61%
24/05/2024,"40,661","40,992.00","41,818.00","40,082.60",2.63M,-0.61%
23/05/2024,"40,909","41,157.00","41,488.00","40,826.40",2.16M,-0.60%
22/05/2024,"41,157","41,736.00","42,314.00","41,115.70",2.94M,-0.40%
21/05/2024,"41,322","41,322.00","41,570.00","40,826.40",2.17M,0.81%
20/05/2024,"40,992","40,992.00","41,901.00","40,909.10",2.65M,0.51%
17/05/2024,"40,785","41,033.00","41,074.00","40,661.10",1.84M,-0.50%
16/05/2024,"40,992","40,620.00","41,570.00","40,537.20",2.54M,2.06%
15/05/2024,"40,165","40,041.00","40,455.00","39,958.70",1.69M,1.04%
14/05/2024,"39,752","40,331.00","40,661.00","39,710.70",2.36M,-1.03%
13/05/2024,"40,165","40,661.00","40,909.00","40,082.60",2.01M,-0.92%
10/5/2024,"40,537","40,992.00","41,116.00","40,454.50",1.00M,-0.91%
9/5/2024,"40,909","41,570.00","41,570.00","40,909.10",1.17M,-0.60%
8/5/2024,"41,157","41,405.00","41,983.00","41,157.00",1.28M,-0.40%
7/5/2024,"41,322","41,818.00","42,149.00","41,322.30",1.29M,-0.99%
6/5/2024,"41,736","40,744.00","41,736.00","40,743.80",1.44M,2.64%
3/5/2024,"40,661","41,033.00","41,240.00","40,495.90",847.97K,0.00%
2/5/2024,"40,661","40,744.00","41,074.00","40,371.90",688.13K,0.00%
26/04/2024,"40,661","40,992.00","41,405.00","40,578.50",937.15K,-0.81%
25/04/2024,"40,992","41,116.00","41,570.00","40,743.80",1.27M,-0.80%
24/04/2024,"41,322","40,868.00","41,653.00","40,785.10",1.71M,1.21%
23/04/2024,"40,826","40,661.00","41,736.00","40,082.60",2.75M,-1.40%
22/04/2024,"41,405","40,331.00","41,405.00","40,330.60",1.57M,3.62%
19/04/2024,"39,959","39,587.00","40,909.00","38,925.60",2.63M,0.52%
17/04/2024,"39,752","42,066.00","42,149.00","39,669.40",2.39M,-4.37%
16/04/2024,"41,570","41,074.00","42,314.00","40,867.80",2.84M,1.21%
15/04/2024,"41,074","44,050.00","45,041.00","41,074.40",3.08M,-6.93%
12/4/2024,"44,132","43,802.00","45,041.00","43,636.30",4.08M,0.75%
11/4/2024,"43,802","42,562.00","44,132.00","42,396.70",2.75M,1.92%
10/4/2024,"42,975","43,636.00","43,636.00","42,892.50",1.44M,-1.33%
9/4/2024,"43,554","42,231.00","43,554.00","41,983.50",2.12M,3.74%
8/4/2024,"41,983","41,488.00","42,645.00","41,322.30",1.09M,1.19%
5/4/2024,"41,488","42,066.00","42,066.00","41,487.60",2.00M,-1.57%
4/4/2024,"42,149","42,810.00","42,810.00","42,148.70",1.32M,0.00%
3/4/2024,"42,149","42,975.00","43,223.00","42,148.70",1.81M,-1.73%
2/4/2024,"42,893","42,893.00","43,306.00","42,562.00",1.91M,-0.38%
1/4/2024,"43,058","43,140.00","43,554.00","42,727.30",1.65M,0.00%
29/03/2024,"43,058","43,967.00","43,967.00","42,975.20",2.16M,-0.95%
28/03/2024,"43,471","43,967.00","44,545.00","43,388.40",1.64M,0.19%
27/03/2024,"43,388","44,050.00","44,050.00","43,388.40",1.95M,-0.95%
26/03/2024,"43,802","43,802.00","44,545.00","43,801.60",1.71M,0.00%
25/03/2024,"43,802","44,793.00","45,868.00","43,553.70",1.53M,-2.21%
22/03/2024,"44,793","44,050.00","46,859.00","44,049.60",5.28M,2.26%
21/03/2024,"43,802","43,967.00","44,132.00","43,636.30",2.25M,0.00%
20/03/2024,"43,802","42,645.00","43,884.00","41,735.50",3.79M,2.71%
19/03/2024,"42,645","43,058.00","43,058.00","42,148.70",926.01K,-0.77%
18/03/2024,"42,975","42,975.00","43,636.00","41,239.70",1.79M,-0.38%
15/03/2024,"43,140","42,645.00","43,636.00","42,148.70",1.73M,0.97%
14/03/2024,"42,727","44,215.00","44,215.00","42,479.30",1.79M,-1.71%
13/03/2024,"43,471","43,140.00","43,471.00","42,809.90",1.69M,1.15%
12/3/2024,"42,975","41,818.00","43,058.00","41,735.50",1.46M,2.97%
11/3/2024,"41,736","42,810.00","43,306.00","41,735.50",1.79M,-1.17%
8/3/2024,"42,231","44,132.00","44,132.00","40,991.70",3.32M,-4.13%
7/3/2024,"44,050","44,959.00","44,959.00","43,966.90",2.57M,-2.02%
6/3/2024,"44,959","44,628.00","45,289.00","44,214.90",1.92M,0.00%
5/3/2024,"44,959","44,215.00","44,959.00","43,719.00",1.45M,1.68%
4/3/2024,"44,215","44,298.00","45,041.00","43,388.40",2.82M,0.00%
1/3/2024,"44,215","44,050.00","44,876.00","43,305.80",1.51M,0.94%
29/02/2024,"43,802","44,545.00","44,628.00","43,801.60",1.62M,-1.67%
28/02/2024,"44,545","43,967.00","45,289.00","43,223.10",2.83M,1.70%
27/02/2024,"43,802","44,380.00","44,628.00","43,801.60",2.11M,-1.12%
26/02/2024,"44,298","43,636.00","45,041.00","42,975.20",1.85M,3.08%
23/02/2024,"42,975","41,157.00","43,967.00","40,743.80",8.39M,4.52%
22/02/2024,"41,116","41,157.00","41,240.00","40,909.10",1.93M,0.00%
21/02/2024,"41,116","41,116.00","41,157.00","40,413.20",2.24M,0.71%
20/02/2024,"40,826","40,909.00","41,488.00","40,826.40",1.90M,0.20%
19/02/2024,"40,744","40,289.00","41,570.00","39,876.00",3.97M,1.55%
16/02/2024,"40,124","40,496.00","40,496.00","39,917.30",1.64M,-0.82%
15/02/2024,"40,455","40,455.00","40,702.00","40,041.30",1.97M,0.00%
7/2/2024,"40,455","40,331.00","40,537.00","40,165.30",2.25M,0.31%
6/2/2024,"40,331","40,331.00","40,331.00","39,669.40",1.85M,0.31%
5/2/2024,"40,207","38,926.00","40,826.00","38,884.30",2.72M,3.73%
2/2/2024,"38,760","39,091.00","39,256.00","38,595.00",2.36M,-0.74%
1/2/2024,"39,050","39,256.00","39,628.00","38,966.90",1.87M,-0.94%
31/01/2024,"39,421","40,083.00","40,331.00","39,256.20",2.03M,-1.55%
30/01/2024,"40,041","40,331.00","40,413.00","39,834.70",1.36M,-0.51%
29/01/2024,"40,248","40,413.00","40,661.00","40,082.60",1.19M,-0.51%
26/01/2024,"40,455","40,000.00","40,455.00","40,000.00",983.00K,1.14%
25/01/2024,"40,000","40,413.00","41,116.00","40,000.00",1.63M,-1.02%
24/01/2024,"40,413","40,083.00","40,661.00","40,041.30",2.26M,-1.01%
23/01/2024,"40,826","40,909.00","41,157.00","40,206.60",2.64M,-0.80%
22/01/2024,"41,157","41,281.00","41,488.00","40,247.90",2.86M,-0.10%
19/01/2024,"41,198","39,587.00","41,198.00","39,008.30",3.57M,4.95%
18/01/2024,"39,256","38,719.00","39,545.00","38,553.70",2.76M,1.39%
17/01/2024,"38,719","38,471.00","38,843.00","38,264.40",1.77M,-0.11%
16/01/2024,"38,760","38,058.00","38,802.00","38,057.80",1.37M,0.64%
15/01/2024,"38,512","38,058.00","38,843.00","38,057.80",1.62M,1.30%
12/1/2024,"38,017","37,934.00","39,008.00","37,231.40",3.72M,-1.07%
11/1/2024,"38,430","39,008.00","39,050.00","38,181.80",4.10M,-1.90%
10/1/2024,"39,174","38,058.00","39,504.00","38,016.50",2.59M,2.93%
9/1/2024,"38,058","38,843.00","38,843.00","38,057.80",2.11M,-0.75%
8/1/2024,"38,347","37,025.00","38,430.00","36,900.80",2.36M,4.27%
5/1/2024,"36,777","36,116.00","37,149.00","36,115.70",1.61M,1.95%
4/1/2024,"36,074","36,281.00","37,190.00","36,033.00",3.89M,-0.34%
3/1/2024,"36,198","35,868.00","36,446.00","35,537.20",1.89M,1.86%
2/1/2024,"35,537","35,868.00","36,033.00","35,289.20",1.35M,-0.92%
29/12/2023,"35,868","35,289.00","35,868.00","34,958.70",1.07M,1.64%
28/12/2023,"35,289","35,537.00","35,661.00","35,289.20",1.33M,-0.70%
27/12/2023,"35,537","35,372.00","35,702.00","35,371.90",1.14M,0.00%
26/12/2023,"35,537","35,702.00","35,992.00","35,289.20",1.41M,-0.46%
25/12/2023,"35,702","35,124.00","35,785.00","34,710.70",1.42M,1.76%
22/12/2023,"35,083","34,545.00","35,083.00","34,214.90",1.44M,1.56%
21/12/2023,"34,545","33,802.00","34,628.00","33,801.60",1.38M,1.21%
20/12/2023,"34,132","34,628.00","34,711.00","33,719.00",1.24M,0.24%
19/12/2023,"34,050","33,884.00","34,298.00","33,512.40",996.19K,0.49%
18/12/2023,"33,884","33,926.00","34,298.00","33,471.10",820.86K,-1.21%
15/12/2023,"34,298","34,256.00","34,463.00","34,090.90",680.02K,-0.24%
14/12/2023,"34,380","34,421.00","34,545.00","34,132.20",943.56K,0.00%
13/12/2023,"34,380","34,628.00","34,711.00","33,553.70",960.01K,-0.72%
12/12/2023,"34,628","34,298.00","34,752.00","34,049.60",1.16M,1.21%
11/12/2023,"34,215","34,711.00","34,876.00","34,173.50",1.92M,-1.19%
8/12/2023,"34,628","33,554.00","34,711.00","33,553.70",2.91M,3.20%
7/12/2023,"33,554","33,347.00","33,884.00","33,057.80",2.37M,1.50%
6/12/2023,"33,058","32,769.00","33,388.00","32,562.00",1.40M,0.88%
5/12/2023,"32,769","32,893.00","32,975.00","32,562.00",791.82K,-0.38%
4/12/2023,"32,893","32,645.00","32,893.00","32,520.70",861.40K,1.02%
1/12/2023,"32,562","32,149.00","32,645.00","32,107.40",920.93K,1.42%
30/11/2023,"32,107","32,231.00","32,645.00","32,066.10",878.82K,-1.15%
29/11/2023,"32,479","32,231.00","32,479.00","32,148.70",982.28K,1.16%
28/11/2023,"32,107","32,231.00","32,231.00","31,570.20",1.01M,1.81%
27/11/2023,"31,535","32,012.00","32,012.00","31,388.70",1.02M,-1.49%
24/11/2023,"32,012","31,535.00","32,012.00","31,095.30",1.11M,1.51%
23/11/2023,"31,535","32,269.00","32,269.00","31,535.30",1.03M,-1.38%
22/11/2023,"31,975","32,232.00","32,269.00","31,828.70",1.01M,-0.80%
21/11/2023,"32,232","32,049.00","32,232.00","31,535.30",1.12M,1.85%
20/11/2023,"31,645","30,802.00","32,159.00","30,802.00",1.10M,0.58%
17/11/2023,"31,462","32,269.00","32,269.00","31,205.30",1.65M,-1.94%
16/11/2023,"32,085","32,452.00","32,562.00","31,865.40",1.32M,-0.91%
15/11/2023,"32,379","31,829.00","32,379.00","31,682.00",1.98M,2.68%
14/11/2023,"31,535","30,985.00","31,865.00","30,985.30",2.14M,2.14%
13/11/2023,"30,875","30,949.00","31,315.00","30,765.30",646.19K,-0.24%
10/11/2023,"30,949","31,095.00","31,462.00","30,875.30",855.49K,-1.51%
9/11/2023,"31,425","31,535.00","31,645.00","31,242.00",1.03M,-0.12%
8/11/2023,"31,462","30,545.00","31,535.00","30,471.90",1.32M,2.63%
7/11/2023,"30,655","30,802.00","30,802.00","30,435.30",724.45K,0.00%
6/11/2023,"30,655","30,545.00","30,949.00","30,508.60",800.27K,0.72%
3/11/2023,"30,435","30,985.00","30,985.00","30,435.30",768.22K,-0.36%
2/11/2023,"30,545","29,959.00","30,545.00","29,775.20",941.12K,4.12%
1/11/2023,"29,335","29,995.00","29,995.00","29,115.20",478.47K,-0.50%
31/10/2023,"29,482","30,069.00","30,435.00","29,481.90",743.14K,-1.95%
30/10/2023,"30,069","30,729.00","30,729.00","30,068.60",737.14K,-2.38%
